Link,Title,URL,Date,Content
http://www.the-star.co.ke/news/2013/02/04/kenya-army-officer-killed-in-wajir-grenade-attack_c734267,Kenya army officer killed in Wajir grenade attack,www.the-star.co.ke › Local News › North Eastern,"Feb. 04, 2013, 12:00 am","[""The person who died in Saturday night's blast was a Kenya Defence Force soldier, police have clarified. Earlier, it had been suspected that the blast victim was suicide bomber."", 'Witnesses said the soldier who was in the company of a girl friend met two Administration Police officers who were on a night patrol along the Wajir Cold Drinks Street stopped the soldier and his companion and asked them to identify themselves before a grenade was hauled at the them.', ""Three other people who were injured in the blast, including the soldier's girlfriend, were admitted to Wajir District Hospital. Until the Saturday incident, Wajir had enjoyed relative calm after a spate of attacks by suspected Al-Shabab militants who have been uprooted from their Kisimayu base in Somalia."", 'On Thursday, three police officers were seriously injured after a hand grenade was hurled at them at the Ifo 2 refugee camp in Dadaab. The officers were patrolling the camp.', 'North Eastern has been subjected to a series of grenade and gun attacks that target security officers. Dozens have died since Kenya drove into Somalia in 2011 to pursue Al Shabaab militants.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/5-to-vie-for-machakos-governor_c734288,5 to vie for Machakos governor,www.the-star.co.ke › Local News › North Eastern,"Feb. 04, 2013, 12:00 am","['The Independent Electoral and Boundaries Commission has cleared five candidates for the Machakos governor seat and three senator hopefuls.', 'Leading the pack in the governor race is former Government Spokesman, Dr Alfred Mutua, who is contesting on a Wiper Democratic Party ticket with Bernard Kiala as his running mate.', 'A former deputy governor of the Central Bank of Kenya,Dr Nzioki Kibua, will contest on a Democratic Party ticket with Monica Mueni as his running mate.', 'Assistant minister for youth affairs Wavinya Ndeti was also cleared ona Chama cha Uzalendo ticket and has named former cabinet minister Mutua Katuku as her running mate. The Orange Democratic Movement will be represented by Tonny Wambua, who has selected Philip Mulinge Muli as his running mate.', 'Another loser in the Wiper primaries, Titus Ndundu, will run on a Party of Democratic Union ticket with Pascal Kisali as the running mate. In the senator race, former joint government chief whip and Kangundo MP Johnson Muthama will contest on a wiper ticket,Boniface Kabaka on Ford People and Leonard Nzomo under Narc-Kenya. ', '\n']"
http://www.the-star.co.ke/news/2013/02/04/dp-boss-tells-uhuru-to-forget-three-piece-vote_c734293,DP boss tells Uhuru to forget three-piece vote,www.the-star.co.ke › Local News › Central,"Feb. 04, 2013, 12:00 am","['The Kiambu county Democratic Party of Kenya branch has described as ill-informed sentiments attributed to Deputy Prime Minister Uhuru Kenyatta that only TNA candidates should be elected.', 'Speaking after a party executive committee meeting in Kiambu, branch chairman Kanyiri Kagochi said Uhurus sentiments will not be taken kindly by parties that are not members of Jubilee Alliance but are supporting his presidential bid.', 'He said DP which has fielded eight parliamentary candidates, 30 civic aspirants, one senator and women representative aspirants in Kiambu County, said Uhurus sentiments were demeaning. The sentiments by Uhuru were aired during an interview in a local radio station.  ', '\n']"
http://www.the-star.co.ke/news/2013/02/04/tjrc-in-fresh-push-for-reconciliation-in-kilifi_c734149,TJRC in fresh push for reconciliation in Kilifi,www.the-star.co.ke › Local News › Coast,"Feb. 04, 2013, 12:00 am","['The Truth, Justice and Reconciliation Commission has set up a peace and conciliation network in Kilifi for quick conflict resolution ahead of the general election. The network comprises of all the six district peace committees in the county.', 'Speaking at a consultative forum at Kilifi County Hall on Saturday, TJRC vice chair Teckla Namachanja said the peace committees will work closely with the commission to re-dedicate their effort in enhancing healing and reconciliation.', 'We need to examine the steps we have made in the healing and reconciliation process. We need to know where we are, what needs to be done and prioritise them into immediate and long term issues, she said.', 'In a joint statement by the committee chairpersons read by Kaloleni district peace committee chair Fred Mangi, they expressed the need to strengthen them (committees) and employ alternative dispute resolution mechanisms in rebuilding cohesion in Kilifi.', 'Mangi said the wounds of injustices especially on land and marginalisation still run deep as was witnessed last year when the TJRC conducted public hearings in Kilifi.', 'We recognise that there are other issues that need to be addressed for closure to happen and true healing and reconciliation to be sustained, read the statement.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/emotional-send-off-for-family-killed-in-car-crash_c734064,Emotional send-off for family killed in car crash,www.the-star.co.ke › Local News › Central,"Feb. 04, 2013, 12:00 am","[""Hundreds of mourners gathered in Kiharu, Murang'a on Saturday to pay their final respect to four family members who died in a road accident."", 'The grief-stricken relatives and friends of the family fought back tears at Yamugwe Primary School grounds as they tried to come to terms with the tragedy.', 'James Mwangi Gichia, who was the head of mechanical department at Muranga University College, his wife Cecilia Wanjiku, daughter Susan Muthoni, 20, and son Dennis Gichiri, 10, died when their car rammed into a stationary lorry belonging to a Chinese construction company on January 23.', ""The accident occurred on the Thika superhighway near Juja town. Gichia was being driven to hospital in Nairobi. The couple's oldest son, David Mwangi, who was driving, is the only family member who survived the accident."", 'Mwangi, a student at Jomo Kenyatta University of Agriculture and Technology, was seriously injured and is still admitted in hospital. He was brought to the funeral in an ambulance.', 'Mwangi broke down in tears after viewing the caskets containing the remains of parents and siblings. Leaders who attended the burial accused the construction company of abandoning trucks on the road.', 'They said the government should take action against the company, adding that the stationary lorries have caused many deaths on the road.', 'However can the government allow the construction company to park the lorries along the road without even putting signs to warn the driver? said a mourner.', 'Juja residents have threatened to hold peaceful demonstrations if the government does not have the vehicles removed from the road. Local leader John Maina said the residents have pleaded with the company to stop parking the lorries on the road especially at night but their pleas have fallen on deaf ears.', 'Maina said they will paralyse the operations on the busy road if something is not done to compel the Chinese company to look for an alternative site to park their lorries.', 'Gichia was described as a dedicated, selfless, God fearing and hardworking civil servant. Those who eulogised him included former ambassador to Belgium Kembi Gitura, politician Irungu Kangata and James Mwangi. The emotive church service was conducted by Christian Church International from Juja.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/transition-of-police-should-be-orderly_c734315,Transition Of Police Should Be Orderly,www.the-star.co.ke › Opinion › Leader,"Feb. 04, 2013, 12:00 am","['Police reforms are underway. The top leadership led by the Inspector General and his two deputies have been appointed by a national police service commission (NPSC) that works together with an independent police oversight authority (IPOA). A look deeper into the facade of a smooth running police service reveals troubling developments that need to be urgently addressed. ', ""Last week's announcement by the Johnstone Kavuludi led police service commission that several police ranks had been abolished and replaced with new ones, followed swiftly by a withdrawal of the new ranks and reinstatement of the old ranks reveals a security system that is not working together."", 'Consultations were not made before the new ranks were announced. Police officers pointed out that the new ranks created confusion since the new ranks did not specify roles to go with them.', 'The NPSC also went ahead to appoint three junior policemen to top positions in the police without the knowledge of the Inspector General.', 'We also have a oversight authority that often acts like a lobby group, opposing decisions made by the police service commission, and campaigning for certain positions.', ""The Ministry of Internal Security has now been forced to intervene in the in-fighting, and also suspend vetting of senior police officers, and new appointments until after elections. The reforms underway are necessary, but must be undertaken an orderly manner that does not compromise Kenya's security."", ' ', '\n']"
http://www.the-star.co.ke/news/2013/02/04/frances-leading-distillers-party_c734139,France's Leading Distillers Party,www.the-star.co.ke › Lifestyle › Society,"Feb. 04, 2013, 12:00 am","['The Sankara Hotel in Nairobi was the venue of a unique gathering last Thursday evening as leading French distiller Pernod Ricard hosted a party to announce their entrance to the Kenyan market. ', 'The company is the distributor of a number of alcoholic beverages, the most famous where Kenyans are concerned are Jameson Whiskey and Absolut Vodka and now Pernod Ricard Kenya. ', '\n']"
http://www.the-star.co.ke/news/2013/02/04/how-to-solve-crises-before-they-escalte_c733517,How To Solve Crises Before They Escalte,www.the-star.co.ke › Opinion › Others,"Feb. 04, 2013, 12:00 am","['As we head into 2013, the crises in the Central African Republic, the Democratic Republic of the Congo, Mali, Sudan and Syria serve as tragic reminders of the challenges that remain in the struggle to protect populations from atrocity crimes, namely genocide, war crimes, ethnic cleansing and crimes against humanity.', 'We are faced with daily media reports of violence and of gross human rights violations, including against women and children, that remind us that we must do more to protect populations.', 'With this constant barrage of bad news, it is tempting to overlook the progress made. Despite ongoing crises, the international community has made important advances over the past years.', 'An impressive range of global, regional and national initiatives have helped to identify and mitigate sources of risk, build and strengthen local resilience to violence, encourage creative ways to manage diversity peacefully, resolve tensions before they escalate and tackle factors that inflame hatred.', 'At the 2005 World Summit, all Heads of State and of Government unanimously committed to protect populations from genocide, war crimes, ethnic cleansing and crimes against humanity, the most serious of crimes.', 'This responsibility already existed under international law. Yet their plain-worded statement in the 2005 World Summit Outcome Document that We accept that responsibility and will act in accordance with it, provided new impetus, under the umbrella of what has since become known as the responsibility to protect.', 'The atrocity prevention efforts of the United Nations and its partners play a vital role in helping to reduce the number of crises. They support national and local capacities to stem tensions and resolve conflicts before they become deadly.', 'The United Nations works with regional and sub-regional arrangements, national governments and civil society, including human rights organisations and womens groups.', 'This collaborative approach focuses on understanding risks and building capacities to mitigate them, including by supporting communities. It seeks to foster a culture of prevention and respect for human rights. ', 'This approach is about building understanding of how eruptions of violence can lead to atrocity crimes. It is about building awareness of the dangers of hate speech and incitement to violence, and addressing them while ensuring respect for human rights.', 'And, when crises seem imminent, this approach is about getting the analysis right and marshalling the resources of the United Nations and the political will of the broader international community to prevent them from escalating.', 'Significant advances in atrocity prevention have also been made outside of the United Nations. A number of Member States have created focal points on the responsibility to protect or internal inter-agency structures for the prevention of atrocity crimes, such as the American Governments Atrocities Prevention Board.', 'Regionally, 18 States in Latin America have established a network for the prevention of genocide. In Africa, the African Union has taken important steps to institutionalise its commitment to protect civilians from atrocity crimes.', 'The International Conference on the Great Lakes Region (of Africa), a sub-regional organisation, has established a Regional Committee for the prevention and punishment of genocide and related crimes.', 'This is the worlds first sub-regional mechanism created specifically to address these issues. In the Middle East, civil society organisations are documenting human rights violations and building peace and tolerance between communities, including through social media. Think tanks and academia from around the world continue to provide intellectual leadership and sound advice.', 'Over the past few years, collective efforts have rendered results. The crisis in a disputed territory between Sudan and South Sudan, Abyei, as well as the crises in Guinea, Kenya, Kyrgyzstan and Yemen were resolved through diplomatic means, without protracted fighting and mass bloodshed.', 'While continued international engagement on those countries remains essential, we can affirm that political leadership was fundamental in achieving these modest successes.', 'The overwhelming task of atrocity prevention requires everyones commitment. The political will of Member States remains paramount. The ongoing crises around the world  from Mali to Myanmar  highlight how progress is ultimately contingent on the will of national governments and on their capacity to move in the same direction.', 'Member States have a crucial and unique role, be it through proactive and preventative action or, when required, through timely and decisive response, within the provisions of the United Nations Charter. When it comes to protecting populations, the United Nations and its partners can only complement their efforts.', 'The Office on Genocide Prevention and the Responsibility to Protect is determined to continue working with Member States, and to encourage the assumption of the full responsibility and the strengthening of the political leadership required to deliver on the promise of never again and make the responsibility to protect a living reality.', ' ', 'Adama Dieng is the United Nations Special Adviser of the Secretary-General on the Prevention of Genocide.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/jubilee-manifesto-targets-jobs-food-security_c734371,"Jubilee manifesto targets jobs, food security",www.the-star.co.ke › National News,"Feb. 04, 2013, 12:00 am","[' The Jubilee Alliance threw its weight behind the expansion of the African Court of Justice to cover international crimes as one of its key pledges in the manifesto launched yesterday.', 'The manifesto anchored on three pillars  national unity, expansion of the economy and openness in governance  promises a vibrant foreign policy within the region as with the US, the European Union, China, Brazil, India and Russia.', 'The Coalition will support the move by the African Court of Justice to expand its remit to cover international crimes, the manifesto states.', 'In the harmonised manifesto incorporating the issues of the main parties in the coalition  TNA, URP, Narc and the Republican Congress  the leaders pledged to resettle all IDPs, including the Mau evictees, the squatters at the Coast and those uprooted by the 2007-08 post-election violence as part of national reconciliation.', 'The coalition also pledged that 30 per cent of all appointees to public bodies will be women and to actively promote the appointment of the youth and marginalised groups.', 'Jubilee promised to transform the police by employing 15,000 officers a year, motorising the force and improving their terms and conditions of service.', 'The coalition pledged to reform the National Intelligence Service by investing in the anti-terrorism unit and passing a new Prevention of Terrorism Act besides creating a new Border Security Force.', ""The coalition will incorporate CCTV technology in the fight against crime, the manifesto states. Jubilee pledged free primary healthcare by increasing the budget allocation from six to 15 per cent, youth empowerment by establishing Institutes of Technology in every ward, women's empowerment by repealing the constitution to abolish the nominated seats and replace them with 48 exclusively reserved for women."", ' ', 'On education, the coalition pledged to build more schools in marginalised areas, increase the number of teachers, introduce school feeding programmes in disadvantaged regions, provide free milk in primary schools and raise the transition rate to secondary school to 90 per cent. Deputy Prime Minister Uhuru Kenyatta, who is the Jubilee presidential candidate, took the opportunity to confront the issue of land.', 'For too long we have talked about the land question. Now we need to find the land answer, he said. Uhuru said his government will reform the management of public land and ensure it is used in the public interest and for the benefit of all Kenyans.', 'He said the existence of three different categories of land   private, public and community  has led to skewed development across the country, with millions missing out on the benefits.', 'Uhuru promised to give the people the right to own the land they live on, increase food production, create more investment, improve housing and health.', ""This would allow individuals to take charge of their own lives, rely on their own efforts. It would minimise disputes over ownership between individual, families and communities. Uhuru's running mate William Ruto promised to ensure the Jubilee government will put a premium on technical education and training."", '\n']"
http://www.the-star.co.ke/news/2013/02/04/corridors-of-power_c734344,Corridors of Power,www.the-star.co.ke › National News › Corridors of Power,"Feb. 04, 2013, 12:00 am","['A Cabinet minister is at logger heads with his PS after the minister demanded millions of shillings to fund his re-election campaigns. The man has been arguing with the PS almost every day for the last two weeks, He insists the PS should find him the funds to print his campaign merchandise and facilitate his movement as he seeks votes. The PS has stood his ground and insisted there is no way he will take public funds to finance an election campaign. The minister has now resorted to threatening the PS with the sack if he does not comply. The PS now plans to inform his boss, Head of Public Service Francis Kimemia, about his tribulations.', '===', '===', 'Despite the colourful and elaborate ceremony at Kasarani yesterday, we are told by Jubilee insiders that all is not well. Apparently, some people from the TNA side of the coalition are unhappy with the influence the URP leader is beginning to exercise. Those in the know have whispered to Corridors that Ruto is becoming more and more influential and is making key decisions.', '===', ""A top cop at Industrial Area police station was overheard recently bragging that he will not abide with the Court order to release two Toyota-Kenya vehicles. The cars were repossessed from a well-known wheeler-dealer who claims to wine and dine with the who's who not only in Kenya but also in the wider East Africa. The top cop said to his civilian friend within the earshot of patrons in a South C bar that neither the new police chief, nor the chair of the police oversight commission, nor the PS can order him to release the vehicles."", '\n']"
