date,Stock Change,twt_HARV_ Hostile,twt_HARV_Pain,twt_HARV_Vice,twt_HARV_Legal,twt_HARV_Milit,twt_HARV_PowCon,fb_HARV_Hostile,fb_HARV_Pain,fb_HARV_Vice,fb_HARV_Legal,fb_HARV_Milit,fb_HARV_PowCon,Press Active Index,news count,news compound,news pos,news neu,news neg,Conflict Count,Fatalities,Conflict Count of 5 days later,Fatalities of 5 days later,Conflict Count of 10 days later,Fatalities of 10 days later,Conflict Count of 15 days later,Fatalities of 15 days later,Conflict Count of 20 days later,Fatalities of 20 days later,Conflict Count of 25 days later,Fatalities of 25 days later,Conflict Count of 30 days later,Fatalities of 30 days later
2/4/2013,0.0068,2.389811105,0.429307384,1.416714367,0.958786491,0.200343446,0.558099599,1.970770593,0.088573959,1.24003543,1.815766165,1.107174491,0.819309123,-0.062131939,38,0.308797368,0.078763158,0.866078947,0.055052632,3,4,2,1,3,1,1,0,3,0,7,8,5,1
2/5/2013,0.0074,2.321927374,0.31424581,1.047486034,1.152234637,0.244413408,0.541201117,2.075310227,0.149764656,0.898587933,2.267864784,0.620453573,0.962772786,-0.06182544,41,-0.014614634,0.076780488,0.856195122,0.067146341,7,3,2,1,1,0,1,0,1,0,1,0,3,0
2/6/2013,0.0087,2.472527473,0.424575425,1.298701299,1.261238761,0.187312687,0.636863137,1.871157445,0.080192462,0.935578722,1.924619086,0.882117081,1.042502005,-0.220376256,43,0.337802326,0.07727907,0.868302326,0.054395349,4,1,0,0,1,0,1,7,3,2,5,1,0,0
2/7/2013,0.0085,2.435530086,0.247460276,1.315446731,1.224277156,0.1041938,0.651211253,1.480335837,0.110472824,0.883782589,1.789659744,0.574458683,0.817498895,-0.152278075,45,0.206688889,0.080422222,0.8518,0.067844444,2,1,1,0,5,5,2,1,2,0,11,21,3,0
2/8/2013,0.006,2.336065574,0.327868852,1.393442623,1.270491803,0.232240437,0.56010929,2.703385548,0.227387569,1.187468418,1.541182415,0.530570995,0.833754421,-0.134643869,40,0.297735,0.091425,0.84275,0.065775,2,10,3,0,2,0,0,0,2,1,4,0,1,0
2/9/2013,,1.926605505,0.201834862,0.972477064,1.100917431,0.165137615,0.697247706,1.929880991,0.192988099,1.350916693,1.125763911,0.546799614,1.383081377,-0.556356225,46,0.433236957,0.086978261,0.853478261,0.0595,2,1,3,1,1,0,3,0,7,8,5,1,2,0
2/10/2013,,2.331002331,0.310800311,1.398601399,1.048951049,0.116550117,0.67987568,1.680846649,0.186760739,0.97530608,1.348827558,0.477277443,1.03755966,0.00957271,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,3,0,3,1
2/11/2013,0.0049,2.236758017,0.195481373,1.093943837,1.623999098,0.169166573,0.729295891,1.868408987,0.091701055,0.894085282,1.879871619,0.194864741,0.779458964,1.974122991,39,0.529341026,0.089641026,0.864512821,0.045794872,0,0,1,0,1,7,3,2,5,1,0,0,0,0
2/12/2013,0.0049,1.899266739,0.288496213,1.105902152,0.913571343,0.276475538,0.384661618,1.720733427,0.169252468,0.902679831,1.43864598,0.394922426,0.930888575,-0.446190567,41,0.011709756,0.070634146,0.865634146,0.063707317,1,0,5,5,2,1,2,0,11,21,3,0,1,1
2/13/2013,0.0032,2.149712092,0.307101727,1.25399872,1.202815099,0.179142674,0.639795266,1.465428277,0.185758514,1.155830753,1.836945304,0.454076367,0.701754386,-0.091997491,47,0.410125532,0.084404255,0.867021277,0.048553191,3,0,2,0,0,0,2,1,4,0,1,0,5,0
2/14/2013,-0.0023,2.21598878,0.266479663,1.079943899,1.051893408,0.098176718,0.518934081,1.962595244,0.092357423,1.085199723,1.87023782,0.43869776,0.831216809,-0.124049405,42,0.401114286,0.09402381,0.853357143,0.052714286,3,1,1,0,3,0,7,8,5,1,2,0,3,3
2/15/2013,-0.0049,1.713062099,0.411793774,1.054192061,1.416570581,0.148245759,0.411793774,2.20705347,0.295790671,1.114903299,2.070534699,0.591581342,0.910125142,-0.044313291,41,0.320478049,0.085341463,0.859804878,0.054902439,1,0,1,0,1,0,1,0,3,0,3,1,1,0
2/16/2013,,2.608505042,0.241122315,1.49057431,1.139850943,0.109601052,1.074090311,1.669758813,0.278293135,1.175015461,1.576994434,0.371057514,0.773036487,-0.489370002,43,0.4206,0.093,0.849209302,0.057813953,1,0,1,7,3,2,5,1,0,0,0,0,3,4
2/17/2013,,2.570130074,0.391788121,1.708196207,1.285065037,0.188058298,0.658204043,1.430842607,0.227117874,1.158301158,1.476266182,0.70406541,0.70406541,-0.353782335,0,0,0,0,0,5,5,2,1,2,0,11,21,3,0,1,1,5,2
2/18/2013,-0.0089,2.391927246,0.249159088,1.445122711,1.009094307,0.186869316,0.585523857,1.720520352,0.167855644,0.986151909,1.804448175,0.461603021,0.902224087,0.176991639,52,0.173353846,0.0775,0.857596154,0.064980769,2,0,0,0,2,1,4,0,1,0,5,0,6,5
