Rowlabel,#IsRootEvent,QuadClass_1,QuadClass_2,QuadClass_3,QuadClass_4,Nor_ NumArticles,Nor_NumSources,Nor_NumMentions,Average of AvgTone,#Event_Host a visit,#Event_accuse,#Event_Use conventional military force,#Event_arrest,#Event_investigate,Grand Total,Population,Household,Airpot,#_of_records,Sum of FATALITIES
Baringo,133,108,18,31,50,-0.073403229,-0.068803325,-0.073440641,2.262708472,8,10,19,4,3,207,-0.494526863,-0.4844956,0,5,8
Bomet,22,14,5,8,1,-0.241099925,-0.242437516,-0.241247613,3.67308403,1,1,1,,,28,-0.161635695,-0.270851781,0,3,0
Bungoma,73,62,7,25,12,-0.219054232,-0.210085206,-0.2193896,2.969584071,12,1,2,2,,106,1.493839623,0.846299132,1,10,8
Busia,67,49,7,21,2,-0.224258222,-0.227353593,-0.224701286,2.256943048,2,3,,1,1,79,-0.668029524,-0.56231428,1,8,5
Elgeyo-Marakwet,21,20,,7,3,-0.247323895,-0.248994347,-0.247504954,2.446726924,3,5,1,1,,30,-0.860856197,-0.707449957,0,5,1
Embu,61,43,12,23,20,-0.223931155,-0.2222339,-0.224190583,2.609812917,1,7,2,5,4,98,-0.633719035,-0.396337462,1,8,4
Garissa,223,136,25,33,161,-0.003434783,0.025663711,-0.005287945,1.627091983,15,11,54,4,4,355,-0.095098044,-0.422003726,1,22,61
Homabay,61,33,6,25,12,-0.22696844,-0.229155863,-0.225911228,3.132143402,5,4,4,1,4,76,0.203563286,0.0808579,0,0,0
Isiolo,31,28,5,0,0,-0.245515258,-0.250984438,-0.245154251,4.8670888,2,,,,4,33,-1.325478839,-1.031633338,1,3,2
Kajiado,61,46,11,18,7,-0.239598312,-0.23760407,-0.239417799,2.639168793,5,,2,2,4,82,-0.234430529,-0.061310796,0,4,1
Kakamega,61,47,9,21,5,-0.240131287,-0.239087077,-0.239473626,2.768847559,8,3,3,1,,82,1.550053264,1.066111948,1,5,3
Kericho,26,34,4,8,2,-0.251596807,-0.247822549,-0.251895132,2.750612364,4,1,,,,48,-0.094212524,-0.151115038,1,1,0
Kiambu,169,151,24,45,30,-0.185258584,-0.183289349,-0.186108071,2.982746416,23,8,8,5,1,250,1.372929663,1.694222543,0,18,9
