id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
8933,SUD-1996-2-322-1,1996,FALSE,Clear,2,2-322,4850,Dinka  - Nuer,322,5460,Dinka  - Nuer,1452,598,Dinka,1519,660,Nuer,-1,"Reuters 1996-06-05 ""Six killed in fighting between Sudanese refugees"" AND",,,,,1,Lodwar town,Lodwar town,Rift Valley province,,3.116667,35.6,POINT (35.600000 3.116667),134352,Kenya,501,Africa,2,2,6/3/1996 0:00,6/4/1996 0:00,0,0,0,6,6,6,6
9097,SUD-1996-2-322-2,1996,FALSE,Clear,2,2-322,4850,Dinka  - Nuer,322,5460,Dinka  - Nuer,1452,598,Dinka,1519,660,Nuer,-1,"BBC Monitoring Service: Africa 1996-06-08  ""SOME 25 REPORTED KILLED IN SUDANESE FACTIONAL FIGHTING AT REFUGEE CAMP.",,,,,2,Lodwar town,"Lodwar town (Kakuma refugee camp, near)",Rift Valley province,,3.116667,35.6,POINT (35.600000 3.116667),134352,Kenya,501,Africa,2,3,6/1/1996 0:00,6/7/1996 0:00,0,0,0,0,0,25,0
25218,SOM-2004-2-144-2,2004,TRUE,Clear,2,2-144,4698,Rer Ahmad subclan (Hawiye) - Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),144,5308,Rer Ahmad subclan (Hawiye) - Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),1543,683,Rer Ahmad subclan (Hawiye),1544,684,Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),-1,"May 19, 2004 (The East African Standard",,,,,2,Komoro town,Komoro town (area),North-Eastern province,Mandera district,3.842959,41.667417,POINT (41.667417 3.842959),135084,Kenya,501,Africa,1,1,5/17/2004 0:00,5/17/2004 0:00,0,0,0,3,3,3,3
25431,SOM-2004-2-144-1,2004,TRUE,Clear,2,2-144,4698,Rer Ahmad subclan (Hawiye) - Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),144,5308,Rer Ahmad subclan (Hawiye) - Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),1543,683,Rer Ahmad subclan (Hawiye),1544,684,Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),-1,r 11/5,,,,,1,Mandera town,Mandera town,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,Africa,1,1,5/8/2004 0:00,5/8/2004 0:00,0,0,0,7,7,7,7
25578,SOM-2007-1-632-65,2007,TRUE,Clear,1,1-141,337,Somalia:Government,632,749,Government of Somalia - ARS/UIC,520,95,Government of Somalia,1355,505,ARS/UIC,-1,BBC 3/17/2007,,,,"HornAfrik Online text website, Mogadishu, in Somali 17 Mar 07",1,Mandera town,Mandera town,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,Africa,1,1,3/16/2007 0:00,3/16/2007 0:00,1,0,0,0,1,1,1
28722,ETH-2011-2-117-6,2011,TRUE,Clear,2,2-117,4672,Dassanetch - Turkana,117,5282,Dassanetch - Turkana,1574,713,Dassanetch,1554,693,Turkana,-1,"All Africa 5/5-11, ""Ethiopia's Merille Militia Massacre 41 Turkanas""; Nairobi Star 4/5-11, ""Ethiopia's Merille Militia Massacre 41 Turkanas",,,,"Rift Valley PC Osman Warfa,  Forestry assistant minister Josphat Nanok",1,Todenyang village,Todonyang (near),Rift Valley province,Turkana district,4.533333,35.933333,POINT (35.933333 4.533333),136512,Kenya,501,Africa,1,2,5/2/2011 0:00,5/4/2011 0:00,5,0,0,0,5,5,5
28738,ETH-2011-2-117-7,2011,TRUE,Clear,2,2-117,4672,Dassanetch - Turkana,117,5282,Dassanetch - Turkana,1574,713,Dassanetch,1554,693,Turkana,-1,"All Africa 8/8-11, ""Eight Women Killed in Turkana By Merille Cattle Rustlers"", All Africa 9/8-11, ""Turkana Dead Tally Adds Up to Twenty"", All Africa 11/8-11, ""The Merille Are Still in the Country",,,,Villagers,1,Todenyang village,Todonyang Village,Rift Valley province,Turkana district,4.533333,35.933333,POINT (35.933333 4.533333),136512,Kenya,501,Africa,1,1,8/7/2011 0:00,8/7/2011 0:00,0,0,0,14,14,20,14
28766,SUD-2011-2-150-1,2011,TRUE,Clear,2,2-150,4703,Toposa - Turkana,150,5313,Toposa - Turkana,1553,692,Toposa,1554,693,Turkana,-1,"All Africa 2011-06-15 ""Locals Feared Dead in Raid On South Sudan",,,,,3,Turkana district,Turkana North District (a village in Turkana North District),Rift Valley province,Turkana district,3,35.5,POINT (35.500000 3.000000),134352,Kenya,501,Africa,2,5,1/1/2011 0:00,6/11/2011 0:00,0,0,0,6,6,6,6
29691,ETH-2011-1-54-6,2011,TRUE,Clear,1,1-133,329,Ethiopia:Ogaden,54,719,Government of Ethiopia - ONLF,530,97,Government of Ethiopia,1346,497,ONLF,-1,"BBC Monitoring Newsfile 22/6-11, ""Ethiopian agents reportedly kill Ogadeni rebel leader in Kenya"" from Ogaden Online, in English 21 Jun 11",,,,ONLF,1,Nairobi city,Nairobi,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,6/20/2011 0:00,6/20/2011 0:00,0,1,0,0,1,1,1
29750,ETH-2011-2-117-1,2011,TRUE,Clear,2,2-117,4672,Dassanetch - Turkana,117,5282,Dassanetch - Turkana,1574,713,Dassanetch,1554,693,Turkana,-1,"Danielberhane's Blog 15/5-11. ""Ethio-Kenyan border: Turkana, Dassenech/Merille Fighting",,,,Ethiopian Foreign Ministry in  its May 13/2011 issue of ‘A Week in the Horn’,3,Turkana district,Lourbay,Rift Valley province,Turkana district,3,35.5,POINT (35.500000 3.000000),134352,Kenya,501,Africa,1,1,5/1/2011 0:00,5/1/2011 0:00,1,0,0,0,1,1,1
