,compound,neg,neu,pos
0,-0.372,0.074,0.86,0.066
1,0.9884,0.026,0.813,0.161
2,0.9884,0.049,0.855,0.096
3,0.991,0.011,0.853,0.136
4,-0.7371,0.112,0.8,0.088
5,0.394,0.06,0.871,0.069
6,0.9949,0.018,0.826,0.155
7,0.98,0.056,0.812,0.133
8,-0.9656,0.069,0.913,0.018
9,-0.6454,0.11,0.834,0.056
10,0.8637,0.024,0.893,0.083
11,0.9153,0.0,0.939,0.061
12,0.8851,0.051,0.83,0.12
13,-0.8209,0.05,0.91,0.039
14,0.3716,0.018,0.922,0.06
15,0.7269,0.057,0.871,0.072
16,0.2732,0.058,0.872,0.07
17,-0.9694,0.16,0.763,0.077
18,0.9726,0.052,0.836,0.113
19,-0.9153,0.091,0.899,0.01
20,0.3182,0.017,0.942,0.041
21,-0.977,0.194,0.688,0.118
22,-0.9877,0.202,0.798,0.0
23,0.9864,0.006,0.896,0.098
24,0.9062,0.049,0.868,0.083
25,0.8007,0.096,0.788,0.116
26,0.994,0.059,0.776,0.165
27,-0.9399,0.139,0.802,0.059
28,-0.9976,0.207,0.736,0.057
29,0.6908,0.048,0.881,0.07
30,0.9959,0.042,0.809,0.149
31,-0.9661,0.201,0.756,0.043
32,-0.7096,0.059,0.898,0.043
33,0.9078,0.044,0.872,0.084
34,0.986,0.022,0.883,0.095
35,0.3182,0.058,0.871,0.071
36,-0.9476,0.128,0.845,0.028
37,0.9578,0.053,0.832,0.115
38,0.8166,0.045,0.844,0.11
39,0.9415,0.065,0.797,0.138
40,0.9914,0.01,0.78,0.209
41,0.956,0.051,0.846,0.103
42,0.8632,0.04,0.886,0.075
43,0.5033,0.07,0.842,0.088
44,-0.9818,0.105,0.874,0.022
45,-0.9904,0.124,0.864,0.012
46,-0.6543,0.057,0.903,0.039
47,-0.8834,0.086,0.891,0.023
48,-0.936,0.133,0.763,0.104
49,-0.3707,0.058,0.878,0.063
50,-0.9766,0.198,0.78,0.022
51,-0.9597,0.08,0.855,0.066
52,-0.991,0.147,0.798,0.056
53,0.9789,0.027,0.889,0.084
54,0.5796,0.04,0.894,0.066
55,-0.9929,0.095,0.867,0.038
56,-0.8225,0.07,0.896,0.033
57,0.8442,0.018,0.929,0.053
58,-0.965,0.139,0.824,0.037
59,-0.975,0.122,0.851,0.027
60,0.9817,0.049,0.8,0.151
61,0.959,0.0,0.889,0.111
62,0.9643,0.031,0.876,0.094
63,-0.9807,0.113,0.816,0.072
64,0.9897,0.051,0.793,0.156
65,0.2023,0.076,0.806,0.118
66,-0.9042,0.084,0.869,0.047
67,0.2023,0.04,0.915,0.045
68,0.4833,0.047,0.889,0.064
69,-0.9423,0.105,0.854,0.041
70,0.1098,0.076,0.849,0.075
71,-0.7712,0.065,0.919,0.016
72,-0.9306,0.077,0.869,0.053
73,-0.5154,0.071,0.862,0.067
74,-0.836,0.063,0.897,0.041
75,-0.7783,0.067,0.881,0.052
76,-0.9535,0.136,0.817,0.047
77,-0.9935,0.171,0.783,0.046
78,-0.3131,0.064,0.897,0.039
79,0.872,0.0,0.927,0.073
80,0.9078,0.072,0.812,0.116
81,0.6688,0.013,0.938,0.049
82,0.3291,0.0,0.986,0.014
83,-0.8807,0.066,0.911,0.024
84,-0.9538,0.121,0.879,0.0
85,0.8769,0.065,0.855,0.08
86,0.775,0.042,0.889,0.069
87,-0.7706,0.073,0.884,0.043
88,-0.955,0.133,0.83,0.037
89,0.9846,0.074,0.774,0.153
90,-0.9776,0.157,0.835,0.007
91,-0.8176,0.075,0.858,0.067
92,-0.9865,0.256,0.681,0.063
93,-0.9446,0.057,0.914,0.029
94,-0.1779,0.137,0.723,0.14
95,-0.8316,0.056,0.944,0.0
96,-0.9099,0.11,0.812,0.078
97,-0.8934,0.07,0.889,0.041
98,-0.6361,0.082,0.852,0.066
99,-0.497,0.071,0.864,0.064
100,0.9873,0.028,0.863,0.109
101,-0.4988,0.09,0.826,0.084
102,0.9944,0.004,0.888,0.108
